Region,Country,Date_of_Arrival,Number_of_Tourists
Europe,Switzerland,2023-07-01,"8,501"
Europe,United Kingdom,2023-07-01,"36,886"
Europe,Other Markets In Europe,2023-07-01,"16,968"
Oceania,Australia,2023-07-01,"98,408"
Oceania,New Zealand,2023-07-01,"15,350"
Oceania,Other Markets In Oceania,2023-07-01,"3,119"
Africa,Egypt,2023-07-01,348
Africa,Mauritius,2023-07-01,413
Africa,South Africa (Rep Of),2023-07-01,"2,166"
Africa,Other Markets In Africa,2023-07-01,"2,999"
Others,Others,2023-07-01,104
Southeast Asia,Brunei Darussalam,2023-08-01,"6,214"
Southeast Asia,Indonesia,2023-08-01,"168,122"
Southeast Asia,Malaysia,2023-08-01,"88,044"
Southeast Asia,Myanmar,2023-08-01,"10,159"
Southeast Asia,Philippines,2023-08-01,"61,802"
Southeast Asia,Thailand,2023-08-01,"34,938"
Southeast Asia,Vietnam,2023-08-01,"51,381"
Southeast Asia,Other Markets In Southeast Asia,2023-08-01,"8,992"
Greater China,China,2023-08-01,"215,442"
Greater China,Hong Kong SAR,2023-08-01,"32,627"
Greater China,Taiwan,2023-08-01,"38,432"
Greater China,Other Markets In Greater China,2023-08-01,"3,316"
North Asia,Japan,2023-08-01,"68,304"
North Asia,South Korea,2023-08-01,"62,177"
North Asia,Other Markets In North Asia,2023-08-01,185
South Asia,Bangladesh,2023-08-01,"11,124"
South Asia,India,2023-08-01,"83,601"
South Asia,Pakistan,2023-08-01,"1,497"
South Asia,Sri Lanka,2023-08-01,"5,567"
South Asia,Other Markets In South Asia,2023-08-01,"2,863"
West Asia,Iran,2023-08-01,406
West Asia,Israel,2023-08-01,"1,669"
West Asia,Kuwait,2023-08-01,"2,157"
West Asia,Saudi Arabia,2023-08-01,"3,123"
West Asia,United Arab Emirates,2023-08-01,"8,749"
West Asia,Other Markets In West Asia,2023-08-01,"3,686"
Americas,Canada,2023-08-01,"9,877"
Americas,USA,2023-08-01,"48,489"
Americas,Other Markets In Americas,2023-08-01,"4,630"
Europe,Belgium & Luxembourg,2023-08-01,"3,466"
Europe,Denmark,2023-08-01,"1,703"
Europe,Finland,2023-08-01,838
Europe,France,2023-08-01,"24,471"
Europe,Germany,2023-08-01,"24,633"
Europe,Italy,2023-08-01,"20,896"
Europe,Netherlands,2023-08-01,"11,327"
Europe,Norway,2023-08-01,"1,378"
Europe,Rep Of Ireland,2023-08-01,"1,984"
Europe,Russian Federation,2023-08-01,"3,493"
Europe,Spain,2023-08-01,"10,525"
Europe,Sweden,2023-08-01,"1,396"
Europe,Switzerland,2023-08-01,"6,359"
Europe,United Kingdom,2023-08-01,"41,765"
Europe,Other Markets In Europe,2023-08-01,"18,898"
Oceania,Australia,2023-08-01,"80,605"
Oceania,New Zealand,2023-08-01,"12,499"
Oceania,Other Markets In Oceania,2023-08-01,"2,687"
Africa,Egypt,2023-08-01,243
Africa,Mauritius,2023-08-01,377
Africa,South Africa (Rep Of),2023-08-01,"1,718"
Africa,Other Markets In Africa,2023-08-01,"3,794"
Others,Others,2023-08-01,65
Southeast Asia,Brunei Darussalam,2023-09-01,"4,502"
Southeast Asia,Indonesia,2023-09-01,"175,603"
Southeast Asia,Malaysia,2023-09-01,"89,384"
Southeast Asia,Myanmar,2023-09-01,"10,631"
Southeast Asia,Philippines,2023-09-01,"50,679"
Southeast Asia,Thailand,2023-09-01,"32,307"
Southeast Asia,Vietnam,2023-09-01,"34,736"
Southeast Asia,Other Markets In Southeast Asia,2023-09-01,"6,264"
Greater China,China,2023-09-01,"135,677"
Greater China,Hong Kong SAR,2023-09-01,"25,848"
Greater China,Taiwan,2023-09-01,"25,818"
Greater China,Other Markets In Greater China,2023-09-01,"1,415"
North Asia,Japan,2023-09-01,"45,989"
North Asia,South Korea,2023-09-01,"48,187"
North Asia,Other Markets In North Asia,2023-09-01,122
South Asia,Bangladesh,2023-09-01,"10,240"
South Asia,India,2023-09-01,"81,016"
South Asia,Pakistan,2023-09-01,"1,360"
South Asia,Sri Lanka,2023-09-01,"5,156"
South Asia,Other Markets In South Asia,2023-09-01,"2,795"
West Asia,Iran,2023-09-01,"1,009"
West Asia,Israel,2023-09-01,"1,805"
West Asia,Kuwait,2023-09-01,521
West Asia,Saudi Arabia,2023-09-01,"1,844"
West Asia,United Arab Emirates,2023-09-01,"6,769"
West Asia,Other Markets In West Asia,2023-09-01,"1,980"
Americas,Canada,2023-09-01,"8,407"
Americas,USA,2023-09-01,"46,605"
Americas,Other Markets In Americas,2023-09-01,"7,753"
Europe,Belgium & Luxembourg,2023-09-01,"2,850"
Europe,Denmark,2023-09-01,"2,158"
Europe,Finland,2023-09-01,"1,275"
Europe,France,2023-09-01,"13,476"
Europe,Germany,2023-09-01,"25,075"
Europe,Italy,2023-09-01,"6,547"
Europe,Netherlands,2023-09-01,"8,584"
Europe,Norway,2023-09-01,"2,013"
Europe,Rep Of Ireland,2023-09-01,"2,062"
Europe,Russian Federation,2023-09-01,"3,333"
Europe,Spain,2023-09-01,"6,203"
Europe,Sweden,2023-09-01,"1,484"
Europe,Switzerland,2023-09-01,"6,079"
Europe,United Kingdom,2023-09-01,"38,715"
Europe,Other Markets In Europe,2023-09-01,"17,891"
Oceania,Australia,2023-09-01,"104,497"
Oceania,New Zealand,2023-09-01,"15,022"
Oceania,Other Markets In Oceania,2023-09-01,"3,464"
Africa,Egypt,2023-09-01,272
Africa,Mauritius,2023-09-01,412
Africa,South Africa (Rep Of),2023-09-01,"2,323"
Africa,Other Markets In Africa,2023-09-01,"2,575"
Others,Others,2023-09-01,30
Southeast Asia,Brunei Darussalam,2023-10-01,"4,390"
Southeast Asia,Indonesia,2023-10-01,"180,884"
Southeast Asia,Malaysia,2023-10-01,"88,643"
Southeast Asia,Myanmar,2023-10-01,"11,360"
Southeast Asia,Philippines,2023-10-01,"54,649"
Southeast Asia,Thailand,2023-10-01,"53,442"
Southeast Asia,Vietnam,2023-10-01,"32,730"
Southeast Asia,Other Markets In Southeast Asia,2023-10-01,"8,829"
Greater China,China,2023-10-01,"122,765"
Greater China,Hong Kong SAR,2023-10-01,"25,108"
Greater China,Taiwan,2023-10-01,"28,466"
Greater China,Other Markets In Greater China,2023-10-01,"1,541"
North Asia,Japan,2023-10-01,"38,073"
North Asia,South Korea,2023-10-01,"45,621"
North Asia,Other Markets In North Asia,2023-10-01,124
South Asia,Bangladesh,2023-10-01,"10,721"
South Asia,India,2023-10-01,"94,334"
South Asia,Pakistan,2023-10-01,"1,484"
South Asia,Sri Lanka,2023-10-01,"4,487"
South Asia,Other Markets In South Asia,2023-10-01,"3,646"
West Asia,Iran,2023-10-01,521
West Asia,Israel,2023-10-01,"1,029"
West Asia,Kuwait,2023-10-01,473
West Asia,Saudi Arabia,2023-10-01,"1,764"
West Asia,United Arab Emirates,2023-10-01,"5,534"
West Asia,Other Markets In West Asia,2023-10-01,"2,058"
Americas,Canada,2023-10-01,"9,006"
Americas,USA,2023-10-01,"44,140"
