Region,Country,Date_of_Arrival,Number_of_Tourists
West Asia,United Arab Emirates,Sep-23,"6,769"
West Asia,Other Markets In West Asia,Sep-23,"1,980"
Americas,Canada,Sep-23,"8,407"
Americas,USA,Sep-23,"46,605"
Americas,Other Markets In Americas,Sep-23,"7,753"
Europe,Belgium & Luxembourg,Sep-23,"2,850"
Europe,Denmark,Sep-23,"2,158"
Europe,Finland,Sep-23,"1,275"
Europe,France,Sep-23,"13,476"
Europe,Germany,Sep-23,"25,075"
Europe,Italy,Sep-23,"6,547"
Europe,Netherlands,Sep-23,"8,584"
Europe,Norway,Sep-23,"2,013"
Europe,Rep Of Ireland,Sep-23,"2,062"
Europe,Russian Federation,Sep-23,"3,333"
Europe,Spain,Sep-23,"6,203"
Europe,Sweden,Sep-23,"1,484"
Europe,Switzerland,Sep-23,"6,079"
Europe,United Kingdom,Sep-23,"38,715"
Europe,Other Markets In Europe,Sep-23,"17,891"
Oceania,Australia,Sep-23,"104,497"
Oceania,New Zealand,Sep-23,"15,022"
Oceania,Other Markets In Oceania,Sep-23,"3,464"
Africa,Egypt,Sep-23,272
Africa,Mauritius,Sep-23,412
Africa,South Africa (Rep Of),Sep-23,"2,323"
Africa,Other Markets In Africa,Sep-23,"2,575"
Others,Others,Sep-23,30
Southeast Asia,Brunei Darussalam,Oct-23,"4,390"
Southeast Asia,Indonesia,Oct-23,"180,884"
Southeast Asia,Malaysia,Oct-23,"88,643"
Southeast Asia,Myanmar,Oct-23,"11,360"
Southeast Asia,Philippines,Oct-23,"54,649"
Southeast Asia,Thailand,Oct-23,"53,442"
Southeast Asia,Vietnam,Oct-23,"32,730"
Southeast Asia,Other Markets In Southeast Asia,Oct-23,"8,829"
Greater China,China,Oct-23,"122,765"
Greater China,Hong Kong SAR,Oct-23,"25,108"
Greater China,Taiwan,Oct-23,"28,466"
Greater China,Other Markets In Greater China,Oct-23,"1,541"
North Asia,Japan,Oct-23,"38,073"
North Asia,South Korea,Oct-23,"45,621"
North Asia,Other Markets In North Asia,Oct-23,124
South Asia,Bangladesh,Oct-23,"10,721"
South Asia,India,Oct-23,"94,334"
South Asia,Pakistan,Oct-23,"1,484"
South Asia,Sri Lanka,Oct-23,"4,487"
South Asia,Other Markets In South Asia,Oct-23,"3,646"
West Asia,Iran,Oct-23,521
West Asia,Israel,Oct-23,"1,029"
West Asia,Kuwait,Oct-23,473
West Asia,Saudi Arabia,Oct-23,"1,764"
West Asia,United Arab Emirates,Oct-23,"5,534"
West Asia,Other Markets In West Asia,Oct-23,"2,058"
Americas,Canada,Oct-23,"9,006"
Americas,USA,Oct-23,"44,140"
Americas,Other Markets In Americas,Oct-23,"7,580"
Europe,Belgium & Luxembourg,Oct-23,"2,371"
Europe,Denmark,Oct-23,"2,636"
Europe,Finland,Oct-23,"2,059"
Europe,France,Oct-23,"13,088"
Europe,Germany,Oct-23,"24,581"
Europe,Italy,Oct-23,"4,058"
Europe,Netherlands,Oct-23,"7,363"
Europe,Norway,Oct-23,"1,776"
Europe,Rep Of Ireland,Oct-23,"1,776"
Europe,Russian Federation,Oct-23,"3,952"
Europe,Spain,Oct-23,"4,717"
Europe,Sweden,Oct-23,"2,273"
Europe,Switzerland,Oct-23,"7,121"
Europe,United Kingdom,Oct-23,"36,194"
Europe,Other Markets In Europe,Oct-23,"18,715"
Oceania,Australia,Oct-23,"88,033"
Oceania,New Zealand,Oct-23,"13,059"
Oceania,Other Markets In Oceania,Oct-23,"3,511"
Africa,Egypt,Oct-23,265
Africa,Mauritius,Oct-23,349
Africa,South Africa (Rep Of),Oct-23,"1,833"
Africa,Other Markets In Africa,Oct-23,"2,786"
Others,Others,Oct-23,46
Southeast Asia,Brunei Darussalam,Nov-23,"4,799"
Southeast Asia,Indonesia,Nov-23,"184,281"
Southeast Asia,Malaysia,Nov-23,"93,415"
Southeast Asia,Myanmar,Nov-23,"11,774"
Southeast Asia,Philippines,Nov-23,"61,213"
Southeast Asia,Thailand,Nov-23,"26,808"
Southeast Asia,Vietnam,Nov-23,"27,484"
Southeast Asia,Other Markets In Southeast Asia,Nov-23,"8,292"
Greater China,China,Nov-23,"104,347"
Greater China,Hong Kong SAR,Nov-23,"22,646"
Greater China,Taiwan,Nov-23,"21,575"
Greater China,Other Markets In Greater China,Nov-23,"1,648"
North Asia,Japan,Nov-23,"41,413"
North Asia,South Korea,Nov-23,"42,614"
North Asia,Other Markets In North Asia,Nov-23,128
South Asia,Bangladesh,Nov-23,"10,118"
South Asia,India,Nov-23,"90,231"
South Asia,Pakistan,Nov-23,"1,404"
South Asia,Sri Lanka,Nov-23,"5,048"
South Asia,Other Markets In South Asia,Nov-23,"3,156"
West Asia,Iran,Nov-23,560
West Asia,Israel,Nov-23,592
West Asia,Kuwait,Nov-23,269
West Asia,Saudi Arabia,Nov-23,"2,652"
West Asia,United Arab Emirates,Nov-23,"5,120"
West Asia,Other Markets In West Asia,Nov-23,"1,505"
Americas,Canada,Nov-23,"13,173"
Americas,USA,Nov-23,"58,807"
Americas,Other Markets In Americas,Nov-23,"8,042"
Europe,Belgium & Luxembourg,Nov-23,"2,469"
Europe,Denmark,Nov-23,"2,276"
Europe,Finland,Nov-23,"2,236"
Europe,France,Nov-23,"12,002"
Europe,Germany,Nov-23,"26,528"
Europe,Italy,Nov-23,"4,119"
Europe,Netherlands,Nov-23,"7,110"
Europe,Norway,Nov-23,"1,954"
Europe,Rep Of Ireland,Nov-23,"2,042"
Europe,Russian Federation,Nov-23,"4,695"
Europe,Spain,Nov-23,"4,098"
Europe,Sweden,Nov-23,"2,589"
Europe,Switzerland,Nov-23,"6,817"
Europe,United Kingdom,Nov-23,"43,198"
Europe,Other Markets In Europe,Nov-23,"19,226"
Oceania,Australia,Nov-23,"88,201"
Oceania,New Zealand,Nov-23,"9,663"
Oceania,Other Markets In Oceania,Nov-23,"3,099"
Africa,Egypt,Nov-23,269
Africa,Mauritius,Nov-23,769
Africa,South Africa (Rep Of),Nov-23,"1,789"
Africa,Other Markets In Africa,Nov-23,"2,168"
Others,Others,Nov-23,35
Southeast Asia,Brunei Darussalam,Dec-23,"9,281"
Southeast Asia,Indonesia,Dec-23,"244,343"
Southeast Asia,Malaysia,Dec-23,"102,689"
Southeast Asia,Myanmar,Dec-23,"13,146"
Southeast Asia,Philippines,Dec-23,"62,901"
